Step,Player,Start_Cash,Risk_Ratio,End_Cash,Rank,Asset_Gap_From_Top,Inv_Stock_W,Return_Stock_W,Inv_Stock_X,Return_Stock_X,Inv_Stock_Y,Return_Stock_Y,Inv_Stock_Z,Return_Stock_Z,Is_Ranking_Published
1,Player_A,100000.0,0.0,100000.0,-,-,0.0,-0.045,0.0,-0.018,0.0,0.028,0.0,0.091,False
1,Player_B,100000.0,0.8,101114.2,-,-,20000.0,-0.045,20000.0,-0.018,20000.0,0.028,20000.0,0.091,False
1,Player_C,100000.0,0.8,101114.2,-,-,20000.0,-0.045,20000.0,-0.018,20000.0,0.028,20000.0,0.091,False
1,Player_D,100000.0,0.8,101114.2,-,-,20000.0,-0.045,20000.0,-0.018,20000.0,0.028,20000.0,0.091,False
2,Player_A,100000.0,0.05,100044.8,4,1114.2,1600.0,-0.049,1000.0,0.075,1000.0,0.007,1000.0,0.041,True
2,Player_B,101114.2,0.5,101830.4,1,0.0,0.0,-0.049,0.0,0.075,40445.7,0.007,10111.4,0.041,True
2,Player_C,101114.2,0.75,102697.7,2,0.0,15167.1,-0.049,20222.8,0.075,25278.6,0.007,15167.1,0.041,True
2,Player_D,101114.2,0.75,102697.7,3,0.0,15167.1,-0.049,20222.8,0.075,25278.6,0.007,15167.1,0.041,True
3,Player_A,100044.8,0.0,100044.8,-,-,0.0,-0.035,0.0,-0.22,0.0,-0.005,0.0,0.038,False
3,Player_B,101830.4,0.8,97299.1,-,-,20366.1,-0.035,20366.1,-0.22,20366.1,-0.005,20366.1,0.038,False
3,Player_C,102697.7,0.8,98127.7,-,-,20539.5,-0.035,20539.5,-0.22,20539.5,-0.005,20539.5,0.038,False
3,Player_D,102697.7,0.8,98127.7,-,-,20539.5,-0.035,20539.5,-0.22,20539.5,-0.005,20539.5,0.038,False
4,Player_A,100044.8,0.0,100044.8,1,0.0,0.0,-0.06,0.0,0.048,0.0,0.003,0.0,0.004,True
4,Player_B,97299.1,0.9,97465.3,4,2745.7,29189.7,-0.06,38919.6,0.048,0.0,0.003,19459.8,0.004,True
4,Player_C,98127.7,0.75,98300.4,2,1917.1,14719.2,-0.06,19625.5,0.048,24531.9,0.003,14719.2,0.004,True
4,Player_D,98127.7,0.75,98300.4,3,1917.1,14719.2,-0.06,19625.5,0.048,24531.9,0.003,14719.2,0.004,True
5,Player_A,100044.8,0.0,100044.8,-,-,0.0,-0.011,0.0,-0.017,0.0,0.013,0.0,0.003,False
5,Player_B,97465.3,0.8,97229.5,-,-,19493.1,-0.011,19493.1,-0.017,19493.1,0.013,19493.1,0.003,False
5,Player_C,98300.4,0.8,98062.6,-,-,19660.1,-0.011,19660.1,-0.017,19660.1,0.013,19660.1,0.003,False
5,Player_D,98300.4,0.8,98062.6,-,-,19660.1,-0.011,19660.1,-0.017,19660.1,0.013,19660.1,0.003,False
6,Player_A,100044.8,0.0,100044.8,1,0.0,0.0,-0.051,0.0,0.023,0.0,0.453,0.0,0.075,True
6,Player_B,97229.5,0.9,98110.8,4,2815.3,29168.9,-0.051,38891.8,0.023,0.0,0.453,19445.9,0.075,True
6,Player_C,98062.6,0.75,109970.4,2,1982.2,14709.4,-0.051,19612.5,0.023,24515.6,0.453,14709.4,0.075,True
6,Player_D,98062.6,0.75,109970.4,3,1982.2,14709.4,-0.051,19612.5,0.023,24515.6,0.453,14709.4,0.075,True
7,Player_A,100044.8,0.0,100044.8,-,-,0.0,-0.052,0.0,-0.025,0.0,0.006,0.0,0.134,False
7,Player_B,98110.8,0.8,99348.1,-,-,19622.2,-0.052,19622.2,-0.025,19622.2,0.006,19622.2,0.134,False
7,Player_C,109970.4,0.8,111357.3,-,-,21994.1,-0.052,21994.1,-0.025,21994.1,0.006,21994.1,0.134,False
7,Player_D,109970.4,0.8,111357.3,-,-,21994.1,-0.052,21994.1,-0.025,21994.1,0.006,21994.1,0.134,False
8,Player_A,100044.8,0.0,100044.8,3,11312.5,0.0,-0.04,0.0,-0.117,0.0,0.02,0.0,0.011,True
8,Player_B,99348.1,0.9,93723.2,4,12009.2,29804.4,-0.04,39739.3,-0.117,0.0,0.02,19869.6,0.011,True
8,Player_C,111357.3,0.5,112382.5,1,0.0,0.0,-0.04,0.0,-0.117,44542.9,0.02,11135.7,0.011,True
8,Player_D,111357.3,0.75,108830.1,2,0.0,16703.6,-0.04,22271.5,-0.117,27839.3,0.02,16703.6,0.011,True
9,Player_A,100044.8,0.0,100044.8,-,-,0.0,-0.036,0.0,-0.225,0.0,-0.001,0.0,0.068,False
9,Player_B,93723.2,0.8,90079.5,-,-,18744.6,-0.036,18744.6,-0.225,18744.6,-0.001,18744.6,0.068,False
9,Player_C,112382.5,0.8,108013.3,-,-,22476.5,-0.036,22476.5,-0.225,22476.5,-0.001,22476.5,0.068,False
9,Player_D,108830.1,0.8,104599.0,-,-,21766.0,-0.036,21766.0,-0.225,21766.0,-0.001,21766.0,0.068,False
10,Player_A,100044.8,0.0,100044.8,3,7968.5,0.0,-0.025,0.0,0.031,0.0,0.011,0.0,0.048,True
10,Player_B,90079.5,0.9,91362.9,4,17933.8,27023.8,-0.025,36031.8,0.031,0.0,0.011,18015.9,0.048,True
10,Player_C,108013.3,0.5,108999.8,1,0.0,0.0,-0.025,0.0,0.031,43205.3,0.011,10801.3,0.048,True
10,Player_D,104599.0,0.75,105878.5,2,3414.3,15689.9,-0.025,20919.8,0.031,26149.8,0.011,15689.9,0.048,True
11,Player_A,100044.8,0.0,100044.8,-,-,0.0,-0.07,0.0,-0.076,0.0,0.007,0.0,0.102,False
11,Player_B,91362.9,0.8,90700.1,-,-,18272.6,-0.07,18272.6,-0.076,18272.6,0.007,18272.6,0.102,False
11,Player_C,108999.8,0.8,108209.0,-,-,21800.0,-0.07,21800.0,-0.076,21800.0,0.007,21800.0,0.102,False
11,Player_D,105878.5,0.8,105110.4,-,-,21175.7,-0.07,21175.7,-0.076,21175.7,0.007,21175.7,0.102,False
12,Player_A,100044.8,0.0,100044.8,3,8164.2,0.0,-0.033,0.0,-0.202,0.0,0.015,0.0,0.045,True
12,Player_B,90700.1,0.9,83294.9,4,17509.0,27210.0,-0.033,36280.0,-0.202,0.0,0.015,18140.0,0.045,True
12,Player_C,108209.0,0.5,109351.3,1,0.0,0.0,-0.033,0.0,-0.202,43283.6,0.015,10820.9,0.045,True
12,Player_D,105110.4,0.75,101454.4,2,3098.6,15766.6,-0.033,21022.1,-0.202,26277.6,0.015,15766.6,0.045,True
13,Player_A,100044.8,0.0,100044.8,-,-,0.0,-0.054,0.0,0.083,0.0,0.022,0.0,-0.316,False
13,Player_B,83294.9,0.8,78907.8,-,-,16659.0,-0.054,16659.0,0.083,16659.0,0.022,16659.0,-0.316,False
13,Player_C,109351.3,0.8,103591.9,-,-,21870.3,-0.054,21870.3,0.083,21870.3,0.022,21870.3,-0.316,False
13,Player_D,101454.4,0.8,96110.9,-,-,20290.9,-0.054,20290.9,0.083,20290.9,0.022,20290.9,-0.316,False
14,Player_A,100044.8,0.0,100044.8,2,3547.0,0.0,-0.058,0.0,-0.003,0.0,0.027,0.0,0.015,True
14,Player_B,78907.8,0.9,77665.4,4,24684.0,23672.3,-0.058,31563.1,-0.003,0.0,0.027,15781.6,0.015,True
14,Player_C,103591.9,0.5,104853.6,1,0.0,0.0,-0.058,0.0,-0.003,41436.7,0.027,10359.2,0.015,True
14,Player_D,96110.9,0.75,96067.9,3,7481.0,14416.6,-0.058,19222.2,-0.003,24027.7,0.027,14416.6,0.015,True
